Date,Open,High,Low,Close,Adj Close,Volume
2025-07-22,3762.882100,3798.100321,3624.140401,3749.145436,3749.145436,45248868820.37
2025-07-23,3749.238456,3765.026362,3532.856563,3629.703539,3629.703539,41283228952.7
2025-07-24,3629.731572,3771.381480,3514.999336,3708.005705,3708.005705,40377960354.44
2025-07-25,3708.005705,3744.820004,3579.962849,3727.266894,3727.266894,42264509576.87
2025-07-26,3727.237245,3789.789743,3702.774166,3741.396104,3741.396104,24635287360.9
2025-07-27,3741.257261,3876.933521,3733.681644,3875.246471,3875.246471,28897450393.68
2025-07-28,3875.255790,3940.652049,3756.515901,3787.425698,3787.425698,35831336148.75
2025-07-29,3788.319473,3883.997695,3716.883394,3793.454925,3793.454925,35540435995.43
2025-07-30,3793.582569,3832.884109,3683.144568,3808.201678,3808.201678,34392494234.67
2025-07-31,3808.246028,3877.470280,3685.004154,3696.707781,3696.707781,32839839444.42
2025-08-01,3696.144377,3722.585613,3432.379856,3488.365932,3488.365932,46261558199.7
2025-08-02,3487.956700,3535.558847,3370.943190,3392.741270,3392.741270,30165065282.06
2025-08-03,3392.744352,3520.831357,3357.938940,3497.379107,3497.379107,19363593864.91
2025-08-04,3497.612922,3734.977599,3491.554994,3718.986033,3718.986033,30905749657.87
2025-08-05,3719.817807,3720.656524,3547.620990,3611.899304,3611.899304,32778742296.09
2025-08-06,3612.038797,3698.124690,3567.095993,3683.920627,3683.920627,26924415762.5
2025-08-07,3684.061985,3926.204231,3650.365911,3914.325937,3914.325937,38627826065.72
2025-08-08,3914.110620,4068.847642,3882.443182,4009.848994,4009.848994,45460293892.34
2025-08-09,4009.150673,4323.761147,4007.709320,4263.598935,4263.598935,45279715746.34
2025-08-10,4263.552504,4332.210206,4163.940299,4254.217597,4254.217597,36173931366.69
2025-08-11,4254.231348,4362.092701,4168.874901,4226.967025,4226.967025,49989853802.5
2025-08-12,4227.207275,4634.055177,4222.362253,4590.925019,4590.925019,57237189035.8
2025-08-13,4590.657518,4784.668854,4566.238721,4756.275876,4756.275876,62550014641.51
2025-08-14,4756.043348,4788.551803,4461.281513,4548.166626,4548.166626,75681632805.73
2025-08-15,4549.075498,4667.730218,4375.545319,4439.988633,4439.988633,55445715823.99
2025-08-16,4439.998182,4493.149351,4379.164394,4426.180311,4426.180311,26816931513.69
2025-08-17,4426.259916,4575.876352,4400.713519,4473.271556,4473.271556,31348101437.86
2025-08-18,4473.330467,4484.009531,4229.379699,4312.505009,4312.505009,53518423360.04
2025-08-19,4312.530373,4355.075235,4070.535438,4073.464201,4073.464201,50440367101.82
2025-08-20,4073.168259,4376.789496,4064.965048,4334.500393,4334.500393,49577862965.42
2025-08-21,4334.567559,4338.826394,4205.776622,4223.209853,4223.209853,33618359941.64
2025-08-22,4223.730894,4884.228018,4209.472206,4831.348723,4831.348723,75965521535.02
2025-08-23,4831.088203,4831.610687,4669.724929,4776.090353,4776.090353,36503623277.66
2025-08-24,4776.704783,4953.732914,4714.472858,4779.647332,4779.647332,52405003873.18
2025-08-25,4779.769467,4796.350126,4343.947243,4372.987767,4372.987767,63936163544.92
2025-08-26,4372.880275,4632.073222,4316.300593,4600.426742,4600.426742,53829747706.29
2025-08-27,4600.510239,4659.987528,4489.297710,4503.392844,4503.392844,43509902322.18
2025-08-28,4503.631165,4629.031281,4435.109301,4507.177676,4507.177676,36045274077.94
2025-08-29,4507.631543,4513.859498,4272.459395,4360.153006,4360.153006,46899991962.03
2025-08-30,4360.088902,4413.274902,4264.195432,4374.153378,4374.153378,25883112278.16
2025-08-31,4374.893434,4497.176982,4373.596893,4390.019130,4390.019130,26683044983.7
2025-09-01,4389.626079,4490.346631,4221.247456,4314.470429,4314.470429,37530746508.04
2025-09-02,4314.391088,4414.934250,4260.459276,4325.365840,4325.365840,39884692333.99
2025-09-03,4324.696399,4489.198505,4286.206097,4450.388959,4450.388959,35260873496.79
2025-09-04,4450.215913,4483.451012,4268.588771,4298.744222,4298.744222,34919798552.38
2025-09-05,4298.837052,4484.361456,4258.049765,4306.988932,4306.988932,44163736675.93
2025-09-06,4306.973228,4327.439778,4244.755078,4274.242063,4274.242063,18108246446.49
2025-09-07,4274.166805,4334.274408,4271.534091,4305.347668,4305.347668,17426783535.87
2025-09-08,4305.381144,4381.275038,4279.971980,4308.072318,4308.072318,32277142377.91
2025-09-09,4308.283212,4381.226649,4277.852850,4309.041575,4309.041575,30703320924.99
2025-09-10,4309.091583,4450.418158,4286.062381,4349.146149,4349.146149,39521365145.59
2025-09-11,4349.200301,4471.698605,4339.716656,4461.233333,4461.233333,35959212991.11
